watchers,stars,forks,commits,branches,releases,contributors,Python,NormWatchers,NormStars,NormForks,NormCommits,NormBranches,NormReleases,NormContributors,Popularity
239,4847,1728,79,1,0,16,1,-0.1370621704,0.1171387806,0.4430149376,-0.4454480882,-0.540516547,-0.4127248364,-0.3166143717,0.1410305159
297,4096,268,241,2,27,20,1,0.03136860248,-0.05660658313,-0.5521336845,0.2272792926,-0.5365636377,0.3377329531,-0.2652639929,-0.1924572217
172,2957,364,1,59,6,0,1,-0.3316287528,-0.3201165289,-0.4866992546,-0.7693538642,-0.3112478077,-0.2459564388,-0.5220158868,-0.3794815121
454,3810,450,79,1,0,4,1,0.4872932807,-0.1227732596,-0.4280809111,-0.4454480882,-0.540516547,-0.4127248364,-0.470665508,-0.02118696332
198,4676,193,29,1,3,3,1,-0.2561253029,0.07757758592,-0.6032543329,-0.6530799959,-0.540516547,-0.3293406376,-0.4835031027,-0.2606006833
646,12169,1067,337,4,17,19,1,1.044857218,1.811098239,-0.007528376928,0.6259325554,-0.5286578191,0.05978562363,-0.2781015876,0.9494756934
635,10874,2230,102,5,1,11,1,1.012913451,1.511497379,0.7851824775,-0.3499374107,-0.5247049098,-0.3849301035,-0.3808023452,1.103197769
203,4601,771,5,546,15,142,1,-0.2416054087,0.06022618475,-0.2092845359,-0.7527433116,1.613819021,0.004196157744,1.300922559,-0.1302212533
188,2570,298,318,10,19,26,1,-0.2851650913,-0.4096497589,-0.5316854252,0.5470324304,-0.5049403633,0.1153750895,-0.1882384248,-0.4088334251
83,2717,118,47,1,0,7,1,-0.5900828698,-0.3756410126,-0.6543749813,-0.5783325092,-0.540516547,-0.4127248364,-0.4321527239,-0.5400329546
274,5035,582,2,593,4,135,1,-0.03542291089,0.1606329595,-0.3381085699,-0.7652012261,1.799605758,-0.3015459046,1.211059397,-0.07096617376
320,2959,701,241,1,15,16,1,0.09816011585,-0.3196538249,-0.2569971411,0.2272792926,-0.540516547,0.004196157744,-0.3166143717,-0.15949695
300,8324,697,122,5,1,3,1,0.04008053901,0.9215497388,-0.2597235757,-0.2668846476,-0.5247049098,-0.3849301035,-0.4835031027,0.2339689007
317,7717,726,102,3,3,10,1,0.08944817932,0.7811190653,-0.239956925,-0.3499374107,-0.5326107284,-0.3293406376,-0.3936399399,0.2102034399
145,4297,342,1,29,7,46,1,-0.4100361815,-0.01010482799,-0.5016946448,-0.7693538642,-0.4298350867,-0.2181617058,0.06851346904,-0.3072785514
55,2620,118,1,149,63,25,1,-0.6713942773,-0.3980821582,-0.6543749813,-0.7693538642,0.04451402916,1.338343339,-0.2010760195,-0.5746171389
159,3527,1047,284,28,5,28,1,-0.3693804777,-0.18824588,-0.02116054983,0.4058427332,-0.433787996,-0.2737511717,-0.1625632354,-0.1929289692
336,5799,1403,1,22,6,28,1,0.1446237773,0.3373858994,0.2214921279,-0.7693538642,-0.4575054518,-0.2459564388,-0.1625632354,0.2345006015
200,3456,1016,59,2,0,7,1,-0.2503173452,-0.2046718731,-0.04229041784,-0.5285008513,-0.5365636377,-0.4127248364,-0.4321527239,-0.1657598787
1841,28291,10202,35,727,38,192,1,4.515111935,5.540955434,6.218966598,-0.628164167,2.329295604,0.6434750155,1.942802294,5.425011322
241,3315,479,16,42,16,4,1,-0.1312542127,-0.2372925073,-0.4083142604,-0.7070642919,-0.3784472658,0.03199089069,-0.470665508,-0.2589536601
496,7144,2159,4,502,6,90,1,0.6092603921,0.6485543604,0.7367882637,-0.7568959498,1.439891012,-0.2459564388,0.6333676355,0.6648676721
1116,12993,4779,6,625,7,40,1,2.409727274,2.0017323,2.522602914,-0.7485906735,1.926098855,-0.2181617058,-0.008512099108,2.311354163
950,17900,2898,2,710,73,99,1,1.927666786,3.13697664,1.240497053,-0.7652012261,2.262096146,1.616290669,0.7489059877,2.101713493
388,9022,761,414,3,25,31,1,0.2956306771,1.083033446,-0.2161006224,0.9456856932,-0.5326107284,0.2821434872,-0.1240504513,0.3875211668
311,3639,336,256,4,71,10,1,0.07202430627,-0.1623344543,-0.5057842966,0.2895688649,-0.5286578191,1.560701203,-0.3936399399,-0.1986981482
106,3042,132,185,2,0,2,1,-0.5232913564,-0.3004516076,-0.6448324603,-0.005268443973,-0.5365636377,-0.4127248364,-0.4963406974,-0.4895251414
177,2650,384,2,334,12,10,1,-0.3171088586,-0.3911415977,-0.4730670817,-0.7652012261,0.7758022494,-0.07918804109,-0.3936399399,-0.3937725126
88,3250,234,619,19,19,23,1,-0.5755629755,-0.2523303883,-0.5753083784,1.796976515,-0.4693641796,0.1153750895,-0.2267512089,-0.4677339141
146,3729,299,658,1,1,7,1,-0.4071322027,-0.1415127729,-0.5310038165,1.958929403,-0.540516547,-0.3849301035,-0.4321527239,-0.3598829307
192,6385,724,2,417,13,24,1,-0.273549176,0.4729581806,-0.2413201423,-0.7652012261,1.103893721,-0.05139330815,-0.2139136142,-0.01397037921
